agent_id,debtor_id
1000,17
1000,19
1000,50
1000,99
1000,145
1000,186
1000,204
1000,225
1000,274
1000,277
1000,335
1000,341
1000,358
1000,361
1000,383
1000,451
1000,471
1000,500
1000,595
1000,642
1000,680
1000,762
1000,773
1000,795
1000,802
1000,810
1000,821
1000,833
1000,871
1000,873
1000,874
1000,890
1000,897
1000,932
1000,960
1000,963
1000,1003
1000,1031
1000,1087
1000,1099
1000,1132
1000,1145
1000,1218
1000,1244
1000,1274
1000,1303
1000,1318
1000,1380
1000,1382
1000,1413
1000,1414
1000,1418
1000,1449
1000,1472
1000,1473
1000,1486
1000,1562
1000,1574
1000,1576
1000,1603
1000,1620
1000,1636
1000,1752
1000,1759
1000,1761
1000,1842
1000,1875
1000,1898
1000,1952
1000,2018
1000,2038
1000,2049
1000,2051
1000,2058
1000,2137
1000,2179
1000,2212
1000,2213
1000,2232
1000,2244
1000,2250
1000,2261
1000,2302
1000,2311
1000,2326
1000,2425
1000,2460
1000,2491
1000,2532
1000,2547
1000,2643
1000,2657
1000,2663
1000,2696
1000,2707
1000,2732
1000,2747
1000,2759
1000,2777
1000,2786
1000,2822
1000,2876
1000,2906
1000,2913
1000,2915
1000,2987
1000,3011
1000,3020
1000,3025
1000,3087
1000,3167
1000,3282
1000,3296
1000,3310
1000,3317
1000,3333
1000,3338
1000,3396
1000,3403
1000,3411
1000,3445
1000,3451
1000,3489
1000,3491
1000,3528
1000,3540
1000,3542
1000,3562
1000,3601
1000,3620
1000,3624
1000,3647
1000,3693
1000,3701
1000,3717
1000,3720
1000,3746
1000,3816
1000,3851
1000,3879
1000,3919
1000,3966
1000,4006
1000,4041
1000,4044
1000,4069
1000,4090
1000,4094
1000,4117
1000,4134
1000,4138
1000,4146
1000,4169
1000,4175
1000,4187
1000,4197
1000,4210
1000,4252
1000,4285
1000,4287
1000,4314
1000,4398
1000,4405
1000,4419
1000,4476
1000,4481
1000,4621
1000,4639
1000,4731
1000,4814
1000,4853
1000,4913
1000,4936
1000,5008
1000,5024
1000,5037
1000,5139
1000,5177
1000,5204
1000,5209
1000,5249
1000,5260
1000,5306
1000,5359
1000,5390
1000,5406
1000,5431
1000,5488
1000,5516
1000,5534
1000,5542
1000,5565
1000,5583
1000,5669
1000,5754
1000,5800
1000,5854
1000,5870
1000,5875
1000,5880
1000,5972
1000,5978
1000,5980
1000,5998
1000,6016
1000,6033
1000,6034
1000,6146
1000,6155
1000,6178
1000,6203
1000,6267
1000,6295
1000,6314
1000,6327
1000,6348
1000,6393
1000,6436
1000,6513
1000,6568
1000,6592
1000,6596
1000,6599
1000,6616
1000,6620
1000,6624
1000,6683
1000,6688
1000,6698
1000,6708
1000,6762
1000,6810
1000,6815
1000,6877
1000,6883
1000,6898
1000,6965
1000,7015
1000,7098
1000,7105
1000,7108
1000,7200
1000,7227
1000,7332
1000,7350
1000,7371
1000,7400
1000,7405
1000,7410
1000,7429
1000,7441
1000,7462
1000,7525
1000,7533
1000,7580
1000,7611
1000,7649
1000,7684
1000,7694
1000,7759
1000,7761
1000,7825
1000,7836
1000,7883
1000,7885
1000,7911
1000,7915
1000,8100
1000,8135
1000,8149
1000,8177
1000,8217
1000,8223
1000,8245
1000,8255
1000,8270
1000,8323
1000,8338
1000,8362
1000,8369
1000,8382
1000,8460
1000,8488
1000,8548
1000,8598
1000,8631
1000,8666
1000,8703
1000,8736
1000,8773
1000,8808
1000,8865
1000,8870
1000,8891
1000,8916
1000,8934
1000,8948
1000,8949
1000,8959
1000,8962
1000,9128
1000,9148
1000,9167
1000,9248
1000,9291
1000,9368
1000,9384
1000,9387
1000,9554
1000,9563
1000,9631
1000,9645
1000,9799
1000,9825
1000,9857
1000,9900
1000,9912
1000,9957
1000,9967
1000,10129
1000,10134
1000,10169
1000,10240
1000,10243
1000,10253
1000,10255
1000,10302
1000,10310
1000,10340
1000,10401
1000,10511
1000,10542
1000,10547
1000,10591
1000,10621
1000,10637
1000,10678
1000,10685
1000,10717
1000,10762
1000,10763
1000,10785
1000,10862
1000,10871
1000,10877
1000,10891
1000,10960
1000,10964
1000,10985
1000,11056
1000,11077
1000,11096
1000,11182
1000,11212
1000,11321
1000,11404
1000,11428
1000,11452
1000,11515
1000,11520
1000,11522
1000,11591
1000,11664
1000,11672
1000,11676
1000,11690
1000,11717
1000,11719
1000,11720
1000,11761
1000,11797
1000,11809
1000,11814
1000,11831
1000,11838
1000,11844
1000,11854
1000,11872
1000,11928
1000,11985
1000,12205
1000,12209
1000,12224
1000,12352
1000,12376
1000,12403
1000,12526
1000,12551
1000,12558
1000,12597
1000,12598
1000,12604
1000,12605
1000,12637
1000,12730
1000,12751
1000,12769
1000,12781
1000,12799
1000,12817
1000,12851
1000,12985
1000,12987
1000,12994
1000,13010
1000,13082
1000,13123
1000,13134
1000,13145
1000,13166
1000,13171
1000,13232
1000,13327
1000,13376
1000,13437
1000,13453
1000,13488
1000,13535
1000,13537
1000,13547
1000,13620
1000,13635
1000,13690
1000,13692
1000,13721
1000,13833
1000,13855
1000,13881
1000,13884
1000,13893
1000,13990
1000,14018
1000,14020
1000,14063
1000,14065
1000,14074
1000,14080
1000,14086
1000,14209
1000,14242
1000,14245
1000,14315
1000,14391
1000,14396
1000,14419
1000,14435
1000,14539
1000,14597
1000,14598
1000,14625
1000,14695
1000,14698
1000,14786
1000,14834
1000,14835
1000,14844
1000,14866
1000,14966
1000,14970
1000,14974
1000,15010
1000,15063
1000,15078
1000,15139
1000,15187
1000,15235
1000,15375
1000,15379
1000,15396
1000,15400
1000,15422
1000,15474
1000,15476
1000,15482
1000,15520
1000,15616
1000,15619
1000,15665
1000,15722
1000,15727
1000,15759
1000,15832
1000,15871
1000,15873
1000,15880
1000,15971
1000,15984
1000,16005
1000,16012
1000,16096
1000,16178
1000,16184
1000,16209
1000,16244
1000,16276
